index,product,category,brand,brand_id,price
299,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Huggies,Hugg,1398
300,Ultra Soft New Born Diapers - Extra Small,Baby Care,Huggies,Hugg,999
301,New Dry Diapers - Medium,Baby Care,Huggies,Hugg,425
302,"Nature Care Diaper Pants - Medium, Monthly Pack",Baby Care,Huggies,Hugg,2399
303,Dry Pants Diapers - Large,Baby Care,Huggies,Hugg,99
304,Dry Pants Diapers - Small,Baby Care,Huggies,Hugg,199
305,Premium Soft Diaper Pants - Large Size,Baby Care,Huggies,Hugg,2398
306,New Dry Diapers - Large,Baby Care,Huggies,Hugg,470
307,Premium Soft Diaper Pants - Extra Large Size,Baby Care,Huggies,Hugg,1199
308,Premium Soft Diaper Pants - Extra Large,Baby Care,Huggies,Hugg,399
309,Wonder Pants - Medium,Baby Care,Huggies,Hugg,699
310,Baby Cottontouch Newborn Cream,Baby Care,Johnsons,John,170
311,Baby Cottontouch Newborn Cream,Baby Care,Johnsons,John,90
312,Baby Care Collection Baby Gift Set - with Organic Cotton Baby One-Piece Romper,Baby Care,Johnson's baby,John,570
313,Active Kids Shampoo - Soft & Smooth,Baby Care,Johnson's baby,John,110
314,Active Kids Shampoo - Shiny Drops With Argan Oil,Baby Care,Johnson's baby,John,110
315,Baby Hair Oil,Baby Care,Johnson's baby,John,55
316,Baby Lotion,Baby Care,Johnson's baby,John,360
317,Kare in Adult Diapers Medium,Baby Care,Kare In,Kare,385
318,Kare in Adult Diapers Pants Medium,Baby Care,Kare In,Kare,520
319,Hippo Sipper - Orange,Baby Care,Luvlap,Luvl,265
320,Hippo Sipper - Green,Baby Care,Luvlap,Luvl,265
321,Turtle Sipper - Green,Baby Care,Luvlap,Luvl,245
322,Body Mist For Babies - Tropical Garden,Baby Care,Mamaearth,Mama,598
